zh,en
- 玛努薇拉会被训的,-They'll just blame Manuela.
- 不,-No!
我们应该告诉公主,We should really tell the princess.
那帮不了什么的,That won't help things.
她是重要人物,But the princess is the only one who--
她们会按她说的做,"Whatever she says, they'll do."
我要告诉她 我不管了！,"I'll tell her, even if they kick me out."
玛努薇拉在哪儿？,Forward. Where's Manuela?
规矩点,Everyone behave.
快点,Now hurry up.
好了,There we go.
站好,Stand still!
殿下要到了！,Her Royal Highness is here.
下午好,Good afternoon.
下午好 冯·加施纳夫人 过得怎么样？,"Good afternoon, Miss Gaerschner, how do you do?"
- 谢谢 很好,"-Very well, thank you."
- 冯·凯斯滕夫人,-Miss von Atems.
啊 冯·伯恩伯格夫人 你好么,"Ah, Miss von Bernburg. How do you do?"
很好 谢谢,"Excellent, thank you."
奥耶小姐 你好吗？,Mademoiselle Oeuillet. Comment allez-vous?
非常感谢您 殿下,"Je vais bien, Your Highness."
这是我们的新英语老师 伊凡斯小姐,"This is our new English teacher, Miss Evans, Your Highness."
我打算上楼去看看她们的见面,I'm going upstairs to watch the parade.
皇室成员看起来总是美得很,Royalty is always beautiful to see.
- 别忘记告诉她,-You said you would tell her.
你现在就得告诉她,You have to tell her now!
她来了,She's coming.
我们必须告诉她,We must tell her!
怎么了 孩子？,"Yes, my child?"
多可爱的一幕呀 这么多快乐的孩子,It is enchanting to see so many happy children.
毋庸置疑 殿下,"Absolutely, Your Highness."
- 贝肯多夫...,-Beckendorf...
- 是的 亲爱的 我没忘,"-Yes, my dear. I didn't forget."
亲爱的校长夫人 我想见见小贝肯多夫,"Dear Headmistress, I'd like to see the young Beckendorf."
- 贝肯多夫,-Beckendorf!
- 贝肯多夫,-Beckendorf.
贝肯多夫小姐 你喜欢这里吗,You're the young Beckendorf. How do you like it here?
是的 当然啦,You love it of course.
- 迈恩哈迪斯,-Meinhardis.
- 是的 她叫什么名字？,"-Yes, what is her name?"
- 对了 我要见见叫迈恩哈迪斯的女孩,"-Yes, I'd like to see the Meinhardis girl."
- 迈恩哈迪斯,-Meinhardis!
我认识你母亲 她是位很虔诚的女性,I knew your mother. She was a very pious woman.
我希望你能像她一样 你看起来很苍白,I hope you try to be like her. You look very pale.
很苍白,Very pale.
她没生病吧 亲爱的校长？,"She's not sick, is she, Headmistress?"
- 没 绝对没有 殿下,"-No, no, of course not, Your Highness."
- 多迷人的女孩,-What a charming girl.
真迷人 她会成为学校的骄傲,"Very charming. She will be the pride of the school, I can tell."
亲爱的校长 我想跟您谈谈幼儿园的事,"And, Headmistress, I would like to speak to you about the nursery school."
请走这边 殿下,May I ask Her Highness upstairs?
再见 孩子们,"Goodbye, children."
你这大嘴巴怎么什么都不说,First you brag and then you say nothing.
- 要是校长没站在那儿就好了,-If the headmistress hadn't been there...
- 这算什么理由,"Yeah, right. -That wasn't the reason."
- 你个胆小鬼！,-You're a coward.
胡说！,Not true.
是我教养太好了！,I've just been raised properly!
不 不,"No, no."
要不是因为陛下来访,"If I didn't have to take the princess in consideration,"
我今天已经把玛努薇拉赶出去了,I would expel Manuela today.
抱歉 校长 可我看法完全不同,"Excuse me, Headmistress, but I see things differently."
我比您对玛努薇拉和其他孩子了解更多,I know Manuela and the other girls better than you.
我和她们走得很近 我爱她们,I'm close to the children. I love them.
- 所以把我的衬裙也给了她们？,-And you give them your garments!
- 玛努薇拉处境不太好,-Manuela doesn't have much.
要是哪个女孩没有足够的衣服穿 我们会写信告诉她母亲,"If the child doesn't bring enough garments, you write to the mother."
那个孩子没有母亲,She doesn't have a mother.
埃德嘉 过来,Edelgard! Come here.
到里头来,Come in here.
这么不守规矩,Such disobedience!
我早该料到你会公然不顾校长的命令,I wouldn't have expected you to break the headmistress's rules like that.
我不知道 我很担心玛努薇拉！,I don't know. I'm so worried about Manuela.
她太特殊了,She's acting so strange.
听我说 埃德嘉,"I'm going to tell you something, Edelgard."
你的朋友不值得你冒这么大风险,Your friend doesn't deserve what you're doing for her.
跟她在一起只会害了你,Associating with her only harms you.
你父母要是知道你和这样一个女孩交朋友 一定会很伤心的,Your parents would be very upset if they knew who you chose as a friend.
- 玛努薇拉又不坏,-Manuela is not a bad person!
- 也许如此,-That may be so.
但你知道...,But you know...
我真的无法解释 你还太年轻,"I can't really explain, you're too young."
但相信我 有一天你会感谢我的,"But believe me, you'll thank me one day."
校长 您称之为罪恶的东西 我称之为爱的精神,"What you call sin, Headmistress, is what I call the spirit of love."
它有纷繁的形式,It takes on a thousand forms.
这么年轻的女孩们需要有个可以依靠的人,"At this age especially, young girls need someone to lean on."
我会找玛努薇拉谈谈 让她摈弃那些兴奋念头,But I'll talk to Manuela to rid her of her exalted ideas.
你叫那为兴奋念头？,You call that exalted ideas?
冯·伯恩伯格夫人 你难道不明白 你和玛努薇拉的关系必须中断么？,"Miss von Bernburg, don't you see that there can be no more contact between you and her?"
我禁止你再跟玛努薇拉讲话,I forbid you to talk even one word with her!
- 怎么了？,-What is it?
- 我很抱歉,-I'm so sorry...
- 你现在该清醒了,-You should be sober now.
- 亲爱的冯·伯恩伯格夫人,-Dearest Miss von Bernburg...
拜托 别演戏了,"Please, don't make a scene."
那好,Very well then.
到我房间等我,Go to my room and wait for me there.
你看到玛努薇拉脸色多苍白吗？,Did you see how pale Manuela was?
嗯 很恐怖 她行屈膝礼时 我还以为她要晕倒了,"Yes, terrible. And when she curtsied, I thought she'd fall."
玛努薇拉！,Manuela!
孩子！,Child!
你这是哭什么？,Why all the crying?
振作点,Pull yourself together.
别这么脆弱 来 坐在这里,Don't be so weak. Come sit down.
现在通情达理点 好么？,"Now be reasonable, yes?"
你知道自己做了什么,You know what you did.
你对我做了什么 你也清楚,"What you did to me, you know too."
我们不必再提,We don't have to talk about any of that.
你会受到惩罚,You're supposed to be punished.
你会被锁起来,You're supposed to be locked up.
不是像监狱那样 只是隔离而已,Not like prison. Just in the isolation room.
玛努薇拉 不要觉得不公平 这惩罚够温和了,"Manuela, don't be unfair. The punishment is fairly mild."
你本该被驱逐出去的,Legally they were supposed to expel you.
校长一直觉得这样做最好,The headmistress thought about it for a long time.
但是这一回 宽恕占了上风,"But this once, mercy shall prevail."
冯·伯恩伯格夫人 我还能见您么？,"Miss von Bernburg, will I be allowed to visit you?"
不行 玛努薇拉,"No, Manuela."
可是 您不会抛下我吧？,But... But you won't leave me!
这样对你更好,It's better for you that way.
我再也见不到您了？,I'm supposed to never see you again?
我活不下去了,I won't be able to live like that.
玛努薇拉 你这是说什么话？,"But, Manuela... what sort of talk is that?"
你不该想那些东西 更别说讲出来了,"You shouldn't think such things, let alone speak them."
你必须恢复理智 无论如何你都得被治好,"You must be brought to your senses. You must be cured, whatever it takes."
治好？,Cured?
治什么？,Of what?
你不能...,You're not allowed to...
那样爱我,love me in that way.
为什么？,Why?
现在 你得走了,You have to go now.
我必须走,I must go.
再呆在这里也没什么意义了,There's no point in you staying any longer.
现在我要走了,I'm going now.
再见 亲爱的冯·伯恩伯格夫人,"Farewell, dearest Miss von Bernburg."
玛努薇拉,Manuela!
冯·伯恩伯格夫人 我得跟你谈谈,Miss von Bernburg. I have to speak with you.
- 尽管我禁止 但你还是找玛努薇拉说了话,-You spoke with Manuela against my orders.
- 是的 校长,"-Yes, Headmistress, I did."
我可以因此受责备,I can answer for it.
我想 我维护了您的权威,I am sure to have acted in your interest.
要是玛努薇拉出了什么事,"Girls, what if Manuela harms herself?"
校长可会相当不痛快了,That could be a real problem for the headmistress.
玛努薇拉跟你们在一起吗？,Is Manuela with you?
她躲起来了？,Are they hiding her?
没有,-No. -No.
不能再这么下去了！,-But that's not okay!
- 我们必须帮助玛努薇拉！,-We have to help Manuela.
这反叛精神就是从你这获得的,This rebellious spirit comes from you.
我可不允许有什么革命的想法！,I will not permit revolutionary ideas.
只要我还呆在这里,Not while I'm in charge here!
我不会放不下我的岗位 我知道我不能再留在这里,I don't care about my job. I know I can't stay.
我不能站在一旁看着孩子们成为被恐吓的无助的动物,"I can't stand to watch how you turn these children into scared, helpless creatures."
你们走这条路 我们走这边,"You go this way, I'll go the other way."
- 你见到她了么？,-Have you seen her?
- 没,-No.
天呐 你见到玛努薇拉了吗？,"Oh, my God. Did you see Manuela?"
她可能会在哪儿呢？,No. Where could she be?
我们天堂里的圣父啊 您的名字如此神圣,"Our Father, who art in heaven... hallowed be thy name."
您的王国降临了,Thy kingdom come.
您的意志将像再天堂一般抵达人间,"Thy will be done, on earth as it is in heaven."
请赐予我们每日的面包 并原谅我们的罪过 正如我们原谅那些侵害我们的人一样,"Give us this day our daily bread... and forgive us our trespasses, as we forgive those who trespass against us."
不要将我们带往诱惑 而将我们从魔鬼身边带走,"Lead us not into temptation, but deliver us from evil."
您拥有王国 权力和荣耀 永远如此,"For thine is the kingdom, the power... and the glory... forever and ever."
"- 我听到的全是""帮帮她""","-All I hear is ""help her."""
- 我们是在谈论一个人！,-We're talking about a human being!
玛努薇拉在哪？,Where is Manuela?
你今天得离开学校,You're leaving the school today.
玛努薇拉 别动！,Manuela! Be still.
快 快,"Quick, quick."
你们都疯了吗？,Did everybody go mad?
发生什么事了？,What is going on?
- 孩子们都在这儿干什么？,-What are the children doing here?
- 玛努薇拉想跳楼,-Manuela wanted to jump!
我们必须感谢上帝啊 校长,"We must thank God, Headmistress."
孩子们避免了一场悲剧 否则我们会后悔一辈子的,The girls have prevented a tragedy that we would have had to bear for the rest of our lives.
"回来，我给你布置个任务。 Come back here, I'll give you an assignment.","Come back here, I'll give you an assignment."
这将是你最后一次和收银员面谈！ It'll be your last interview with the cashier!,It'll be your last interview with the cashier!
Stew.,Stew.
Stew Smith!,Stew Smith!
康罗伊先生。 给我讲讲斯凯勒的故事，好吗？,Mr. Conroy.
"Mr. Conroy. Give me a crack at that Schuyler story, will you?","Give me a crack at that Schuyler story, will you?"
斯图是唯一一个有头脑的人。 Stew's the only man with brains enough for this.,Stew's the only man with brains enough for this.
——安全! 你找到斯图了吗？,- Scram!
-还没有。 - Scram! Did you find Stew?,Did you find Stew?
- Not yet.,- Not yet.
-你看了吗？ -我找的第一个地方。 - Did you look in,- Did you look in...?
- -? - First place I looked.,- First place I looked.
不存在? Not there?,Not there?
"我的天，那家伙在哪儿？ 去把他挖出来。 For crying out loud, where is that guy?","For crying out loud, where is that guy?"
Go dig him up.,Go dig him up.
它在那里... ... 为我祈祷，加拉格尔，为我祈祷。,There it is...
"There it is... Pray for me, Gallagher, pray for me.","Pray for me, Gallagher, pray for me."
-不要拿东西。 -Stew，你的手在发抖。,- Hold everything.
"- Hold everything. - Stew, your hands are shaking.","- Stew, your hands are shaking."
-你又喝酒了。 -别这样。 来吧。,- You've been drinking again.
- You've been drinking again.,- Come on.
- Come on.,Come on.
Come on. Here they come.,Here they come.
-他们来了。 -老板嗓子越来越哑了。,- Here they come.
- Here they come. - The boss is getting hoarse.,- The boss is getting hoarse.
第三个。 And the third one.,That's the third one.
- - Almost had that.,Almost had that.
Stew!,Stew!
什么？ 屏幕?,What?
What? The screen?,The screen?
加拉格尔! 我做到了！ Gallagher!,Gallagher!
I made it!,I made it!
过来！ Come over here!,Come over here!
"听着，我不干了。 Look, I quit.","Look, I quit."
——是吗? -是的。,- Yeah?
- Yeah? - Yeah.,- Yeah.
你总是找我的茬。 You're always picking on me.,You're always picking on me.
花了三个小时才把这些小玩意放进洞里... ... 你一分钟就搞砸了。,It took three hours to get those little gadgets in those holes and you screw it up in a minute.
and you screw it up in a minute. Look.,Look.
"这可不像看上去那么简单，对吧？ It's not as easy as it looks, is it?","It's not as easy as it look, isn't it?"
难怪你这么疯狂。 No wonder you're batty.,No wonder you're batty.
只是为了打破单调吗？ Just to sort of break the monotony?,Just to sort of break the monotony?
"和我在一起，你永远可以做生意。 With me, you can always do business.","With me, you can always do business."
你知道在客厅里该做什么吗？ You know what to do in a drawing room?,You know what to do in a drawing room?
"是的,是的。 好吧,好吧。","Yeah, yeah."
"Yeah, yeah. Okay, okay.","Okay, okay."
"听着，我们有个线索。 Now listen, we've got a tip.","Now listen, we've got a tip."
斯凯勒夫妇终于和那个女合唱团达成了协议。 The Schuylers finally made a deal with that chorus dame.,The Schuylers finally made a deal with that chorus dame.
-格洛丽亚·戈登？ -是啊，小歌洛莉亚。,- Gloria Golden?
"- Gloria Golden? - Yeah, little Gloria.","- Yeah, little Gloria."
人类收银机。 她看上了斯凯勒的孩子。 The human cash register.,The human cash register.
Got her hooks in the Schuyler kid.,Got her hooks in the Schuyler kid.
-今年第一次正确。 -现在才四月。 - Right for the first time this year.,- Right for the first time this year.
- It's only April.,- It's only April.
-走吧。 -去哪儿？ - Get going.,- Get going.
- Get going where?,- Get going where?
我足不出办公室就能写那篇报道。 I can write that story without leaving the office.,I can write that story without leaving the office.
让我们被告上诽谤罪的官司。 这也不是第一次了。 And get us into a million,And get us into a million-dollar libel suit.
-dollar libel suit. It wouldn't be the first time.,It wouldn't be the first time.
"-都可以，但你要明白 -好吧。 - Any of them, but get it.","- Any of them, but get it."
-给我一张报销单。 -什么费用？ - Give me a voucher for expenses.,- Give me a voucher for expenses.
- What expenses?,- What expenses?
你所需要的只是去长岛的车费。 All you need is carfare to Long Island.,All you need is carfare to Long Island.
你最好刮个脸，擦个面。 And you better get a shave and a shine.,And you better get a shave and a shine.
你现在要进去可真不容易。 You're gonna have a tough time getting in there as it is.,You're gonna have a tough time getting in there as it is.
我认识那些蓝鼻子。 I know those bluenoses.,I know those bluenoses.
他们的祖先拒绝乘坐五月花号... ... 因为他们不想和游客接触。,Their ancestors refused to come on the Mayflower because they didn't want to rub elbows with tourists.
于是他们游了过去。 So they swam over.,So they swam over.
"但我一直在告诉你这有多难，斯凯勒太太。 But I keep telling you how difficult it is, Mrs. Schuyler.","But I keep telling you how difficult it is, Mrs. Schuyler."
我不知道你为什么这么大惊小怪。 我只发了六张。 I don't know why you're making all this fuss.,I don't know why you're making all this fuss.
I only sent six.,I only sent six.
-我找不到她的电话愚蠢的人! - I couldn't get her on the phone.,- I couldn't get her on the phone.
- Imbecile!,- Imbecile!
"你应该知道不该写信的，罗密欧。 You should have known better than to write, Romeo.","You should have known better than to write, Romeo."
-我很久以前就知道了。 -我应该说你有。 - I found that out a long time ago.,- I found that out a long time ago.
- I should say you had.,- I should say you had.
按照你们俩的发展速度... ... 为了保全颜面，我们得离开这个国家。,At the rate you two are going we'll have to leave the country to save our faces.
"we'll have to leave the country to save our faces. 灿烂的,妈妈! 我们去蒙特卡洛吧。","Splendid, Mother!"
"Splendid, Mother! Let's hop over to Monte Carlo.",Let's hop over to Monte Carlo.
-这是个挽回颜面的好地方。 -闭嘴。 - It's a great place to save a face.,- It's a great place to save a face.
"- Oh, shut up.","- Oh, shut up."
-怎么了，斯迈思？ -对不起，... ...,"- What is it, Smythe?"
"女士但我该对记者们说些什么呢？ - What is it, Smythe? - Pardon me, madam...","- Pardon me, madam but what am I to say to the newspapermen?"
你不能这么做。 交给我吧。 我知道如何应付记者。,You can't do that.
You can't do that.,Leave it to me.
Leave it to me. I know how to handle reporters.,I know how to handle reporters.
"那好吧，赶快结束吧。 All right then, get it over with.","All right then, get it over with."
我们决定去见记者。 先叫论坛报的人来。 We've decided to see the reporters.,We've decided to see the reporters.
Send the man from The Tribune first.,Send the man from The Tribune first.
-很好。 ——Smythe。,- Very good.
- Very good.,- Smythe.
- Smythe. 一些碳酸氢钠。 强力。,Some bicarbonate of soda.
Some bicarbonate of soda. Double -strength.,Double-strength.
我知道那些新闻贩子会让我心烦的。 I know those newsmongers will upset me.,I know those newsmongers will upset me.
我预料到了，夫人。 碳酸氢盐准备好了。,"I anticipated it, madam."
"I anticipated it, madam. The bicarbonate is ready.",The bicarbonate is ready.
"嘿，宾格，你会在餐厅找到银器的。 Hey, Bingy, you'll find the silverware in the dining room.","Hey, Bingy, you'll find the silverware in the dining room."
感谢。 Much obliged.,Much obliged.
格雷森先生决定要见你。 Mr. Grayson has decided to see you.,Mr. Grayson has decided to see you.
《论坛报》的那位先生先来。 The gentleman from The Tribune first.,The gentleman from The Tribune first.
《论坛报》上没有绅士。 There are no gentlemen on The Tribune.,There are no gentlemen on The Tribune.
"我明白，先生。 I understand, sir.","I understand, sir."
"嘿，别紧张，别紧张。 Hey, take it easy, take it easy.","Hey, take it easy, take it easy."
"听着，孩子，你在这儿待着没用。 Listen, my boy, no use you hanging around here.","Listen, my boy, no use you hanging around here."
永远不要做最后一版。 Never make the last edition.,Never make the last edition.
把你的故事翻译成英语要花我好几个小时。 It'd take me hours to translate your story into English.,It'd take me hours to translate your story into English.
-是吗？ -我很担心。,- Is that so?
- Is that so? - I'm afraid.,- I'm afraid.
脱下你的帽子。 你可能会给人留下深刻印象。,Take off your hat.
Take off your hat. You might make an impression.,You might make an impression.
不可能的。 再戴上。,Impossible.
Impossible. Put it on again.,Put it on again.
"嘿，拿定主意，好吗? Hey, make up your mind, will you?","Hey, make up your mind, will you?"
"嗨,各位。 Hi, folks.","Hi, folks."
"难道人群中就没有一句""祝福你""吗？ Ain't there a ""bless you"" in the crowd?","Ain't there a ""bless you"" in the crowd?"
-你是论坛报的人？ -是的。 你好，你好吗？,- You're the Tribune man?
- You're the Tribune man?,- Yeah.
"- Yeah. Hello, how are you?","Hello, how are you?"
很好。 请坐。,Fine.
Fine. Have a seat.,Have a seat.
"谢谢，我会的。 Thanks, I will.","Thanks, I will."
这里。 This way.,This way.
"哦,男孩。 Oh, boy.","Oh, boy."
"-好报纸，论坛报。 -嗯，我应该说。 - Fine newspaper, The Tribune.","- Fine newspaper, The Tribune."
"- Well, I should say.","- Well, I should say."
-我和你们的总编辑很熟。 -是吗？ - I knew your managing editor well.,- I knew your managing editor well.
- Is that so?,- Is that so?
耶鲁大学。 我想是21岁。 Yale.,"Yale. '21, I believe."
我们是同班同学。 We were classmates.,We were classmates.
她感冒了？ She got a cold?,She got a cold?
我在报纸上帮他找到了工作。 你知道，我是股东。,I got him his job on the paper.
"I got him his job on the paper. I'm a stockholder, you know.","I'm a stockholder, you know."
是这样吗？ Is that so?,Is that so?
——一个论坛人对另一个论坛人说。 -是的。 - One Tribune man to another.,- One Tribune man to another.
我没意见。 我不会怨恨你的。,That's all right with me.
That's all right with me. I won't hold it against you.,I won't hold it against you.
-但我是来找你的 -我知道我知道。 - But I'm over here to find out about,- But I'm over here to find out about...
- -,- I know.
- I know.,I know.
I know. 但故事里有b无真相。 But there's no truth in the story whatsoever.,But there's no truth in the story whatsoever.
"噢,是吗? Oh, yeah?","Oh, yeah?"
在这里。 在这里。 Here it is.,Here it is.
Here.,Here.
所以你看到那个谣言有多愚蠢了吧。 So you see how silly that rumor is.,So you see how silly that rumor is.
"为什么,当然。","Why, sure."
"都是些胡言乱语。 Why, sure. It's all a lot of hooey.",It's all a lot of hooey.
"这就是我想说的，但我想不出来。 That's what I wanted to say, but I couldn't think of it.","That's what I wanted to say, but I couldn't think of it."
-非常感谢。 -好吧，好吧，别客气。,- Thank you very much.
"- Thank you very much. - All right, all right, don't mention it.","- All right, all right, don't mention it."
代我向你们的总编辑问好。 Give my regards to your managing editor.,Give my regards to your managing editor.
我当然会的。 I certainly will.,I certainly will.
"好了，再见，朋友们。 Well, so long, folks.","Well, so long, folks."
保佑你。 Bless you.,Bless you.
-祝福你。 ——谢谢。,- Bless you.
- Bless you. - Thanks.,- Thanks.
-再见。,- So long.
"-斯迈思，把另一个记者叫来。 - So long. - Smythe, bring in the other reporter.","- Smythe, bring in the other reporter."
"是的,先生。 Yes, sir.","Yes, sir."
"我猜你叫斯凯勒吧？ Schuyler's the name, I presume?","Schuyler's the name, I presume?"
是的，谢谢，谢谢。 我叫史密斯，斯图尔特·史密斯。,"Yes, thank you, thank you."
"Yes, thank you, thank you. My name is Smith, Stewart Smith.","My name is Smith, Stewart Smith."
"与约翰，乔，商标或商标无关。 No relation to John, Joe, trade or mark.","No relation to John, Joe, trade or mark."
"当然，你不可能拥有一切。 Of course, you can't have everything.","Of course, you can't have everything."
"你的康拉德真不错，斯凯勒太太。 Nice set of Conrad you have there, Mrs. Schuyler.","Nice set of Conrads you have there, Mrs. Schuyler."
我只是扫了一眼。 I was just glancing through this one.,I was just glancing through this one.
迈克尔撕报纸干什么？ What's Michael tearing the paper about?,What's Michael tearing the paper about?
只是一种习惯。 Just a habit.,Just a habit.
斯凯勒先生对这些谣言感到有些不安。 Mr. Schuyler's a bit put out by all these rumors going around.,Mr. Schuyler's a bit put out by all these rumors going around.
谣言? 谣言?,Rumors?
Rumors? Rumors?,Rumors?
什么时候失信的案子成了谣言了？ Since when is a breach -of,Since when is a breach-of-promise case a rumor?
-promise case a rumor? 没有任何违反承诺的案件被立案。 No breach,No breach-of-promise case has been filed.
-promise case has been filed. -已经庭外和解了。 -我明白了。,- It has been settled out of court.
- It has been settled out of court.,- I see.
"- I see. 歌洛莉亚对这两万美元并不满意。 Gloria isn't exactly satisfied with the $20,000.","Gloria isn't exactly satisfied with the $20,000."
"德克斯特·格雷森，你跟我说只有一万块！ Dexter Grayson, you told me it was only 10,000!","Dexter Grayson, you told me it was only 10,000!"
而你连那混蛋的信都没收到。 And you didn't even get those letters from that jezebel.,And you didn't even get those letters from that Jezebel.
"所以你确实给了她一万块？ So you did give her $10,000?","So you did give her $10,000?"
还有信件。 那流言课就不讲了，不是吗？,And there are letters.
"And there are letters. Well, that takes it out of the rumor class, doesn't it?","Well, that takes it out of the rumor class, doesn't it?"
我们什么都不承认。 We admit nothing.,We admit nothing.
"不过，我准备了一份声明。 However, I've a little statement all prepared.","However, I've a little statement all prepared."
-声明？ 好。 -我这儿有。,- A statement?
- A statement?,Good.
Good. - I have it right here.,- I have it right here.
"50美元，是吧？ Fifty bucks, huh?","Fifty bucks, huh?"
"如果你这么做，他会认为这是伪造的。 If you do, he'll think it's counterfeit.","If you do, he'll think it's counterfeit."
我不需要50美元。 事实上，我有50美元。,I don't need $50.
"I don't need $50. As a matter of fact, I've got $50.","As a matter of fact, I've got $50."
《论坛报》的人似乎很满意。 The man from The Tribune seemed satisfied.,The man from The Tribune seemed satisfied.
肚子吗?,Bingy?
是的，Bingy会的。 他以前从未见过50美元。 Bingy?,"Yeah, Bingy would."
"Yeah, Bingy would. He never saw $50 before.",He never saw $50 before.
你可以花6比特买下他。 You could have bought him for 6 bits.,You could have bought him for 6 bits.
"他看起来很蠢，不是吗？ He looks stupid, doesn't he?","He looks stupid, doesn't he?"
所以你给了她一万块？ So 10 grand was the amount you gave the gal?,So 10 grand was the amount you gave the gal?
你们还有什么要说的吗？ Any other statement you folks would like to make?,Any other statement you folks would like to make?
-我们没什么好说的了。 ——等待。 不要太兴奋。,- We have nothing more to say.
- We have nothing more to say.,- Wait.
- Wait. Don't get excited.,Don't get excited.
没什么好担心的。 Nothing to worry about.,Nothing to worry about.
-一点宣传不会伤害任何人。 -德克斯特，让他马上离开。 - A little publicity never hurt anybody.,- A little publicity never hurt anybody.
"- Dexter, have him leave immediately.","- Dexter, have him leave immediately."
我想你最好还是走吧。 -走吧？ - I think you'd better go.,- I think you'd better go.
"- Go, huh?","- Go, huh?"
等一下。 Wait a minute.,Wait a minute.
这是一个很棒的故事： That's a great story:,That's a great story:
别介意，妈妈。 Don't mind Mother.,Don't mind Mother.
-如果你不介意，我也不介意。 ——安妮。 - I don't mind her if you don't.,- I don't mind her if you don't.
- Anne.,- Anne.
我相信你很愿意体面地对待这件事。 I'm sure you're quite willing to be decent about this.,I'm sure you're quite willing to be decent about this.
不错的吗?,Decent?
"为什么，斯凯勒小姐，我想要高贵。 Decent? Why, Miss Schuyler, I want to be noble.","Why, Miss Schuyler, I want to be noble."
"你不会把这傻东西印出来吧？ You're not going to print this silly thing, are you?","You're not going to print this silly thing, are you?"
没有?,No?
为什么不呢? No? Why not?,Why not?
"因为我也叫斯凯勒，我什么都没做。 Because my name's Schuyler too, and I haven't done a thing.","Because my name's Schuyler too, and I haven't done a thing."
"但我得忍受迈克尔的痛苦，妈妈也一样。 But I'll have to suffer with Michael, and so will Mother.","But I'll have to suffer with Michael, and so will Mother."
母亲已经很痛苦了。 Mother's suffering already.,Mother's suffering already.
好吗? Please?,Please?
你知道吗，女士，如果你卖人寿保险... -...我会在60秒内换一份保单。 -谢谢。,"You know something, lady, if you sold life insurance..."
"You know something, lady, if you sold life insurance...",- ... I'd go for a policy in 60 seconds.
I'd go for a policy in 60 seconds. - Thank you.,- Thank you.
我知道你会理解的。 I knew you'd understand.,I knew you'd understand.
我可以用一下你的电话吗？ ——当然。 就在那里。,- May I use your telephone?
- May I use your telephone?,- Certainly.
- Certainly. Right over there.,Right over there.
你没事的。 You're all right.,You're all right.
喂? 现场1300人。,Hello?
Hello? Beekman 1300.,Beekman 1300.
现场1300人。 Beekman 1300.,Beekman 1300.
这是个不吉利的数字。 你知道的，不是吗？,That's an unlucky number.
"That's an unlucky number. You know that, don't you?","You know that, don't you?"
喂?,Hello?
"你好,亲爱的。 康罗伊在吗？ 把康罗伊交给我。","Hello, toots."
"Hello? Hello, toots.",Is Conroy in?
Is Conroy in? Let me have Conroy.,Let me have Conroy.
他不是吗?,He isn't?
"去洗手间试试，好吗？ He isn't? Try the washroom, will you?","Try the washroom, will you?"
"前几天我面试了一个很棒的人。 爱因斯坦。 Say, I interviewed a swell guy the other day.","Say, I interviewed a swell guy the other day."
Einstein.,Einstein.
不错的家伙。,Swell guy.
"有点古怪，但很好 不穿吊袜带。 Swell guy. A little eccentric, but a swell","A little eccentric, but a swell..."
- - Doesn't wear any garters.,Doesn't wear any garters.
"事实上，我也不知道。 吊袜带有什么用？ Neither do I, as a matter of fact.","Neither do I, as a matter of fact."
What good are garters,What good are garters...?
"-? 你好,康罗伊。 我是史密斯。","Hello, Conroy."
"我在斯凯勒家。 Hello, Conroy.",This is Smith talking.
This is Smith talking. I'm up at the Schuylers.,I'm up at the Schuylers.
"不，我不喝茶。 No, I'm not having tea.","No, I'm not having tea."
"也就是说，还没有。 That is, not yet.","That is, not yet."
她漂亮吗？ Is she beautiful?,Is she beautiful?
"头儿，她的照片不像她。 Boss, her pictures don't do her justice.","Boss, her pictures don't do her justice."
"如果我是那个人，齐格菲尔德，我。 怎么了？ If I were that guy, Ziegfield, I","If I were that guy, Ziegfield, I..."
- - Yeah?,Yeah?
"是的，你可以看到她的美丽是从哪里来的。 Yes, you can see where her beauty comes from.","Yes, you can see where her beauty comes from."
从她母亲那里。 From her mother.,From her mother.
等一下。 冷静点。 我马上就会讲到这个。,Wait a minute.
Wait a minute.,Keep your shirt on.
Keep your shirt on. I'll come to that in a minute.,I'll come to that in a minute.
斯凯勒夫妇承认这个故事是真的。 正确的。 The Schuylers admit the story is true.,The Schuylers admit the story is true.
Right.,Right.
"现在，他们给了女孩1万美元。 Now, they gave the gal 10,000 bucks.","Now, they gave the gal 10,000 bucks."
在我看来，她会得到的。 It looks to me like she's going to get it.,It looks to me like she's going to get it.
"对了,老板。 我马上就来。","Right, boss."
"正确的。 Right, boss. I'll be right over.",I'll be right over.
"不，我想我现在拍不到照片了。 好吧。 No, I don't think I can get any pictures now.","No, I don't think I can get any pictures now."
All right.,All right.
我这辈子见过一些僵尸。 I've met some rotters in my time.,I've met some rotters in my time.
但你是一个男人的最低级借口... ... 我最不幸遇到的人。,But you're the lowest excuse for a man I've ever had the misfortune to meet.
好吧，如果你这么想... ... 这是你的五分钱。,"Well, if you feel that way about it here's your nickel for the phone call."
-你好吗？ -请进。,- How are you?
- How are you? - Come right in.,- Come right in.
-你好吗？ ——好。,- How are you?
- How are you? - Fine.,- Fine.
"""史密斯先生，你不会发表那篇报道吧？"" ""Mr. Smith, you wouldn't print that story, would you?""","""Mr. Smith, you wouldn't print that story, would you?"""
"不，我不会印出来的。 阅读它。 No, I wouldn't print it.","No, I wouldn't print it."
Read it.,Read it.
