source,reference,prediction,reference_len,prediction_len,token_f1,length_gap
"在发生这些事之后, 你需要好好的休息","After what happened, you need rest badly.","now , , , , you ' re going to your . .",9,13,0.2727,4
如果我告诉了爸爸，那会 杀了他的，我很茫然无助！,It would kill my father if I told him. I am so helpless!,"i ' m going to tell me , i ' m going to my husband , i ' ll be him .",15,22,0.2703,7
在想你那会是什么？,About whisky. What about whisky?,what ' s you want to you ?,7,8,0.2667,1
啊，我的夫君，請不要離開我 我昨晚還夢見，兩座大山向你坍塌,"O my dear lord, don't leave me. I dreamt further that two mountains collapsed and buried you!","i , i , i ' m not , i ' m going to me , i ' m you to <unk> .",22,23,0.2667,1
她不會去排練了.,She will not go to the rehearsal.,she ' ' t be her .,8,7,0.2667,1
-我想在后面系条皮带。 ——好的。 你会得到一条皮带。,- Want a belt in the back.,- i ' m going to .,8,7,0.2667,1
我在找价格标签。 I was looking for the price tag.,I was looking for the price tag.,i ' m going to <unk> .,8,7,0.2667,1
那你能把她带过来吗？,Could you bring my wife here then?,you you you her her her ?,8,7,0.2667,1
-他竟然说我是人贩子,He called me a white slave trader!,- he ' s a <unk> .,8,7,0.2667,1
她才是罪魁祸首！,"""She's the guilty one!",she her her her her her !,8,7,0.2667,1
我们把所有东西对半平分。 And we split everything 50 -50.,And we split everything 50-50.,we ' ' t <unk> <unk> .,8,7,0.2667,1
你看上去很累,You seem very tired yourself.,you ' ll go to go to you .,6,9,0.2667,3
"不，是罗斯湾。 Ix -nay, the oss","Ix-nay, the oss-bay.","no , no , no .",9,6,0.2667,3
- 保证没人看见,-I'll take care of it.,"- no , the <unk> .",9,6,0.2667,3
That's all right with me. I won't hold it against you.,I won't hold it against you.,that ' s all right .,9,6,0.2667,3
我是专程来道歉的。 因为我不能忘记。,I came here because I could not forget.,i ' ' t know .,9,6,0.2667,3
"一个幸福的大家庭。 One big, happy family.","One big, happy family.","- i ' , a <unk> , <unk> .",6,9,0.2667,3
你从裤子里拿东西了吗？ Did you take anything out of those pants?,Did you take anything out of those pants?,you ' t you you ?,9,6,0.2667,3
-你会怎么说？ -别说了，妈妈请。,- What would you say?,"- you ' re you , , , .",6,9,0.2667,3
什么时候的？,"- To where, signora, to what town?",what ' s what ?,10,5,0.2667,5
模仿街上的姑娘走路,Imitating the walk of the girl of the street. ــــــــــــ ــــــــــــ,the <unk> <unk> <unk> .,10,5,0.2667,5
充满希望的天竺葵,The hopeful geranium.,the <unk> of the <unk> <unk> <unk> <unk> <unk> <unk> .,4,11,0.2667,7
想叫你多提防那边的女人,Just be on your guard against the women out there.,""" you ' re you to the <unk> of your wife .",11,12,0.2609,1
一种新的消遣 看别人快乐幸福的孩子,A new dissipation...watching the happiness of others. ــــــــــــــ ــــــــــــــ,- i ' m not the <unk> of the <unk> .,12,11,0.2609,1
I'll tell you what let's do. Let's you and me sneak out all by ourselves.,Let's you and me sneak out all by ourselves.,i ' ' t you ' t you to you .,12,11,0.2609,1
你別責備他，他工作太辛苦了,You must forgive him. He works so hard.,you ' re him him him him him him him him him .,10,13,0.2609,3
他写这篇文章之前不是出过海吗？ Didn't he go to sea before he wrote about it?,Didn't he go to sea before he wrote about it?,he ' s not <unk> to <unk> to <unk> .,13,10,0.2609,3
"这让我想起了我在巴黎开业的那晚。 You know, it reminds me of the night I opened in Paris.","You know, it reminds me of the night I opened in Paris.",i ' m going to me to me .,14,9,0.2609,5
副市长 我得出去看看,The mayor? This I have to see!,i ' ll go to see . i ' ll go to see .,9,14,0.2609,5
"克林格蘭先生會是個好朋友, 他不準備接受你跳舞的邀請.",Mr. Kringelein would be a good friend and not accept your invitation to dance.,"mr , , , , , ' t you ' re to to . .",16,15,0.2581,1
"如果 她丈夫来了，千万不能发现她在这儿""","""lt wouldn't do for her husband to see her should he come.""",she ' her her her her her her her her her her her .,17,14,0.2581,3
叫我今晚请你喝个够,I-It's just that the boys... told me to amuse you for a little while.,i ' m you you you you you .,22,9,0.2581,13
你这么勇敢，只为了救我 冒你生命危险来到敌人地区,"""It was so brave of you to risk your life, coming into the enemy's country, just to save me.""","you ' re you , i ' ll you you to you .",26,13,0.2564,13
Wait a minute.,Wait a minute.,i ' m .,4,4,0.25,0
珍珠是冷的.,Pearls are cold.,"yes , s .",4,4,0.25,0
他的... ... 是的。,"For instance, take Mr. Miller.",he ' s . . . . .,8,8,0.25,0
Start the engine.,Start the engine.,that ' s .,4,4,0.25,0
你呢？,And your name?,you you you ?,4,4,0.25,0
杀了他们！,Smash 'em!,""" they they !",4,4,0.25,0
我想在后面系条皮带。 I want a belt in the back.,I want a belt in the back.,i ' ' ve been to <unk> .,8,8,0.25,0
我也必须继续大不列颠博物馆的工作,I'd go on with my work for the museum.,i ' ' t to <unk> <unk> <unk> <unk> <unk> <unk> .,12,12,0.25,0
給我的房間要和你們給 普萊辛格總經理的一模一樣.,The same kind of room you'd give General Director Preysing.,i ' ll be you to your <unk> . . .,13,11,0.25,2
进来。 我给你拿杯喝的。,Come in.,i ' m you .,3,5,0.25,2
任何人不得进入病房,No one is allowed in the hospital ward.,"- no , no , no .",9,7,0.25,2
五點鐘左右.,About 5:00.,the <unk> .,5,3,0.25,2
这看起来很荒唐，尤其我们只认识了对方 如此短的的时间，但我是认真的,"It seems absurd when we've known each other such a short time, but I'm serious.","that ' s the <unk> , the <unk> , <unk> , i ' s the <unk> . . .",21,19,0.25,2
那种才真的是防不胜防,They don't give you much warning.,that ' s not . . .,9,7,0.25,2
"像过去的爱情一样? J"" j"" like the loves of old? J""",2 Like the loves of old?,""" ' s the <unk> <unk> <unk> <unk> ?",7,9,0.25,2
你挡着我的路！,You've chased me all this way.,you ' ll my my wife !,9,7,0.25,2
"-你是说齐格飞的斯坦利·夏普吗? -是的。 - You mean Stanley sharpe, from Ziegfeld?","- You mean Stanley Sharpe, from Ziegfeld?",- you ' s the <unk> .,9,7,0.25,2
我想和你谈谈。 Smythe.,Come here.,i want you you .,3,5,0.25,2
由于你自己的粗心大意，你受了伤害。,You got injured by being careless.,you ' re you to your to you .,7,9,0.25,2
還有 --,And then...,- yes .,5,3,0.25,2
這事結束了!,That's it!,this is !,5,3,0.25,2
我们什么时候去玩乐呢？,When are we going to have all that fun?,we we we we we ?,10,6,0.25,4
不合理吗? 你知道楼下是什么样子吗？,Unreasonable?,"- no , you know ?",2,6,0.25,4
我們要能湊夠幾個人來玩.,If we could scare up some men to play.,we ' ve been <unk> .,10,6,0.25,4
我和她结婚的时候 她只是个深褐色头发的女子,"When I married her, she was a brunette.",i ' her her her her her her her her her her her .,10,14,0.25,4
她们可能不是什么好女人,They're no good.,she ' ' t t t know to her .,6,10,0.25,4
亲爱的,"Oh, darling, darling.",""" .",6,2,0.25,4
不 你怎么玩？,"Did you bring me some good cases, baby?",- no ' t you ?,10,6,0.25,4
你怎么跟个老男人勾搭在一起了,Some fiancé you hooked.,you ' re you to the <unk> <unk> <unk> <unk> .,5,11,0.25,6
"付钱，好吗，加拉格尔？ 有时间我会还给你的。 Pay that check, will you, Gallagher?","Pay that check, will you, Gallagher?","oh , , , , i ' ll you , i ' ll you .",9,15,0.25,6
院长才是疯子！,"It's the director who's insane!""",""" is your wife !",11,5,0.25,6
与我？,- Didn't she go out there with you?,i ' m going ?,11,5,0.25,6
格魯辛斯卡婭夫人不用車.,Mme. Grusinskaya's car is not to be brought.,mr . . .,12,4,0.25,8
在爱的神殿里，圣洁的少女 生命之火,In the Love Temple. Virgins of the sacred fires of Life.,the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> .,13,27,0.25,14
他擋住了我，我沒辦法做事,He got in my way. I couldn't work. What about you?,"he ' s <unk> me , i ' m i i ' m going to me .",16,17,0.2424,1
他是个好人，我希望他 会给你留下深刻的印象,He is a fine man. I hope he will make a good impression on you.,"he ' s he ' t want to me , i ' ll be him .",17,16,0.2424,1
"- ""噢 卡洛斯 你对我真残忍啊""","-""O Carlos, how cruelly you play with me.""",- - i ' m you you i ' m you .,13,12,0.24,1
"我最後好不容易才等到的, 可這是什麼房間啊?","When I finally got one, what kind of a room was it?","i ' m not , i ' t you , ?",14,11,0.24,3
她长时间的守候有了回报 她要去警告伯沙撒 巴比伦将受到新的攻击,"Her long wait rewarded, she goes to warn Belshazzar of the new advance on Babylon.",she ' s the <unk> the <unk> <unk> the <unk> of the <unk> of the <unk> .,17,17,0.2353,0
你可以花6比特买下他。 You could have bought him for 6 bits.,You could have bought him for 6 bits.,you ' re you to to to .,9,8,0.2353,1
他们是新来的志愿少爷兵,- Volunteers for the future generals' staff.,they they they they to the <unk> .,9,8,0.2353,1
姐姐，這就是你的傑作！,"O sister, what you have wrought!","- , , , your wife your wife !",8,9,0.2353,1
我們正在搜查 我沒看見,I haven't seen a soul.,we ' we to to me to me .,8,9,0.2353,1
你从哪里得到这些钱？,"""Where did you get this money ?""",you ' t you want to you ?,9,8,0.2353,1
我得收拾一下旅行用的東西.,I had to arrange about the trip.,i ' ll be a <unk> <unk> <unk> .,8,9,0.2353,1
... I'm not gonna live in your house. You might as well get that straight.,You might as well get that straight.,i ' ' t get to the <unk> .,8,9,0.2353,1
"""真的 王子的那封被拦下来的信..."" ""... 起不到什么作用""","""Truly, an intercepted letter from the prince would work with rare effect.""",""" "" the <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> . """,16,18,0.2353,2
把这个放走廊去,"Take him up those stairs, down the corridor.",this this is this the <unk> .,10,7,0.2353,3
"Yes, I'm sorry. I struck him in your house.",I struck him in your house.,"i ' m sorry , i ' m you .",7,10,0.2353,3
紡織業的人一定知道曼徹斯特.,A man in the textile industry must know Manchester.,the <unk> <unk> <unk> <unk> <unk> .,10,7,0.2353,3
艾柏特 我回来了,"Albert! Albert, I've come back!",i ' m going to me .,10,7,0.2353,3
我在想什么,♪ What I'm feeling ♪,i want to what do you want to what ?,7,10,0.2353,3
你是该刮胡子了,You really should shave.,"you ' re you , you ' re going to the .",5,12,0.2353,7
你们看看这个皮革,Look at that leather!,"you look you look , that ' re going to see .",5,12,0.2353,7
你去哪啊?,"Come here. Hey, hey, hey. Where you going?",you you want ?,13,4,0.2353,9
此身，吾所爱也 汝魂灵更为吾所怜,"It was not only this body that I loved, it was thy soul.","oh , , , i ' ll be <unk> <unk> .",15,11,0.2308,4
你记得他们做了什么 桥上出事那天你也在,You remember what they did. You were there that day on the bridge.,you ' re gonna to you to you to you .,15,11,0.2308,4
他们正在想新方法 好把我也干掉,"Paul, they're tryin' to invent somethin' to kill me right now.",they they they they to the <unk> <unk> .,17,9,0.2308,8
"你最好把这事搞清楚。 - Oh, such a sweet nose. - Whether the nose is sweet or not...",- Whether the nose is sweet or not I'm not gonna live in your house.,you ' re going to the suit .,18,8,0.2308,10
- 剩下的路我没法走了,Looks like the old bread wagon's broke down. - I guess I don't walk the rest of the way.,"- yes , i ' m going to go .",25,10,0.2286,15
你不离开 这座房子的话．我走,Either you leave this house or I do.,you ' ' t you to the <unk> .,9,9,0.2222,0
你的衣服都准备好了 - 我还记得是你抓到这只的,"Your things are ready for you, Paul.",you ' re going to you . you .,9,9,0.2222,0
我真的在你身上浪费时间,Pity is something that is wasted on you.,"i ' m my your you , you .",9,9,0.2222,0
一個錯誤.,That's wrong.,- a <unk> .,5,4,0.2222,1
来吧。 - Bring him in. The more the merrier.,The more the merrier.,- come on .,5,4,0.2222,1
那位先生是谁？,Who is that gentleman?,"mr , mr ?",5,4,0.2222,1
尝尝看,Have a taste.,""" ' s the .",4,5,0.2222,1
四处走走。 看看你穿西装的感觉如何。,Take a walk around.,"oh , , .",5,4,0.2222,1
关上门 不,Shut the door.,"- no , no .",4,5,0.2222,1
过来,"""Come here!""","come , come .",5,4,0.2222,1
火炬散發出金色的光芒,The golden torch of hope...,the <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> .,8,10,0.2222,2
能跟他有个孩子让我那么激动,I was excited to have a child with him.,""" he ' s a <unk> <unk> .",10,8,0.2222,2
两个袖子。 两个袖子。 Two sleeves.,Two sleeves.,i ' m a <unk> .,3,6,0.2222,3
你的钥匙在那儿,That's where I saw your keys. Oh.,your your your your the <unk> .,11,7,0.2222,4
你不喝?,Nothing?,you don ' t t you ?,2,7,0.2222,5
"那是一件很糟糕的事，安妮。 That was kind of a rotten thing to do, Anne.","That was kind of a rotten thing to do, Anne.",that ' s all right .,12,6,0.2222,6
我们一起去见巴克莉,"And you're an ass. And now we will eat and drink, and I will take you to meet Miss Barkley.",we ' ll go to to to to the <unk> .,25,11,0.2222,14
你真是最不可理喻 最不领情的女孩了,"Oh, you're a most unreasonable girl and most ungrateful.",you ' ' t you ' t you ' t you ' t you .,13,15,0.2143,2
"我是想問, 和你在走廊聊天的先生是誰?","I mean, who were the gentlemen you were talking to in the corridor?","i ' , i , you , you , you , you .",15,13,0.2143,2
我们靠他们为生 靠他们,We make a living off them... We live.,we we they they they they they they they they they they they they they .,12,16,0.2143,4
穆勒就在阿拉伯广场上,Muller's down in the Arab quarter now.,the <unk> the <unk> the <unk> the <unk> .,10,9,0.2105,1
校长一直觉得这样做最好,The headmistress thought about it for a long time.,- i ' m going to the <unk> .,10,9,0.2105,1
我禁止你再跟玛努薇拉讲话,I forbid you to talk even one word with her!,"i ' ll you you , manuela .",11,8,0.2105,3
我可怜的丈夫正在剧院等我,My poor husband is waiting for me at the theatre.,i ' m my my my my .,11,8,0.2105,3
不过幸运之神不一定会在你这边,"But as soon as we knew, we arranged everything.","no , no , no , no .",11,8,0.2105,3
"我也是这么想的, 穆勒.","I guessed as much, Muller.",i ' ' s what i ' m going to . .,7,12,0.2105,5
我明确地向你们告知 启示录上所预言的日子将近了,"Verily, I say unto you: the days of which the Apocalypse speaks draw nigh...!",i ' ll be to the <unk> <unk> .,20,9,0.2069,11
例如，一条鱼可以把鱼放入水中... ... 但不能在陆地上，因为他会不适应。,"For instance, a fish can putter in water but not on land, because he'd be out of place.","i , , , , , i ' ' t <unk> to <unk> . . .",23,16,0.2051,7
有什么不对的吗?,Is anything the matter?,why why why not ?,5,5,0.2,0
哈利法克斯农化所,Halifax Agro-Chem.,the <unk> <unk> <unk> .,5,5,0.2,0
Always was Smith. Always gonna be Smith.,Always gonna be Smith.,i ' m <unk> .,5,5,0.2,0
"在這個時候關於 曼徹斯特的事, 我不能表態.",I cannot commit myself at this time about Manchester.,"the <unk> <unk> , i ' m not <unk> .",10,10,0.2,0
Miller. He's... Yeah.,You take him.,i ' ll be . .,4,6,0.2,2
去哪,Where is everyone?,where ' s the <unk> .,4,6,0.2,2
我們比試三個回合，龔特爾殿下,"Let the triple battle begin, King Gunther!","we ' ll be to the <unk> , , . .",9,11,0.2,2
17家 等等,17. Wait.,i ' m <unk> <unk> .,4,6,0.2,2
教授和米基之间 出现一些问题了,There's something wrong between the professor and Mitzi.,""" , , , , the <unk> <unk> .",11,9,0.2,2
一匹马病了,A Sick Horse.,- i ' m going .,4,6,0.2,2
是的 当然啦,You love it of course.,"yes , yes .",6,4,0.2,2
- 你省省吧,All of you!,- you ' re you .,4,6,0.2,2
总共有三万人,- Thirty thousand.,""" no , <unk> <unk> .",4,6,0.2,2
小姐 先生,- Madame. - Monsieur.,"mr , mr .",6,4,0.2,2
我是以高级军官身分跟你们说话 - 你们想闹上军事法庭吗？,I command you as your superior officer!,i ' ll be you to you to you to you ?,8,12,0.2,4
"不要让这些可怜的无辜的小家伙们死去！""","""Don't let those poor, innocent creatures die!""","no , ' t be the <unk> of the <unk> of the <unk> of the <unk> .",13,17,0.2,4
我只是想知道为什么 为什么？,What I'm tryin' to figure out is why.,i know what do you know what ?,12,8,0.2,4
我的天,Don't let her die.,my my .,7,3,0.2,4
打扰一下。 我马上就回来。,Excuse me.,"- , , i ' m .",3,7,0.2,4
非常有趣,Most interesting.,"- no , that ' s .",3,7,0.2,4
我认识你母亲 她是位很虔诚的女性,I knew your mother. She was a very pious woman.,i ' m you to her her .,12,8,0.2,4
将那卷轴与我同葬 让那渎神之举从此在埃及绝迹,"The scroll he ordered buried with me, that no such sacrilege might disgrace Egypt again.",""" that ' s the <unk> <unk> <unk> <unk> <unk> <unk> <unk> .",17,13,0.2,4
我是这儿的院工跟我来,"I am the porter, Signor Tenente. Come, follow me.",i ' m my my my .,13,7,0.2,6
現在，克裏米爾特，除了上帝還有我自己 再也沒人知道藏寶地址了,"Now, Kriemhild, no-one knows anything of the Treasure other than God and myself!","now , , , , i ' ve been to <unk> .",18,12,0.2,6
准备一下吧,Her husband's out there. Might as well let him in.,"- , , , . .",14,6,0.2,8
让我们... ... 让我们在一起吧...,Take us... take us together...,we ' ll be . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,11,50,0.1967,39
你们失去了理智吗 如果核心机毁灭了 整个地下城都会化为乌有,"Have you lost your minds ― ? If the Heart-Machine perishes, the entire Workers' City will be laid to waste ― !",you ' re going to the <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> .,26,15,0.1951,11
她是我的生命 我的财富 我的宝贝,""" She is my life "" "" My good and my gold. """,she was my my my my my my my my my my wife my my wife my my wife my my wife my my wife my my wife my my wife my my wife my my wife .,14,38,0.1923,24
母亲你看 是面包 香肠 还有白米,"Look, Mother. Bread, sausage and rice.","you ' re you , that ' s a <unk> .",10,11,0.1905,1
"你使得变成了现在这样的酒鬼！""","""You made him the drunkard he is!""",you ' re you to the <unk> of the <unk> .,10,11,0.1905,1
为什么不让他带她走？,"""Why don't you let him have her.""",why why why not t t t t ?,12,9,0.1905,3
你真那么认为？ 会的,Aren't you exaggerating a bit?,you ' re you you you ' re going to your wife .,8,13,0.1905,5
"-你愿意出52.5美元吗? ——不,先生。 - Would you go to $52.50?","""Would you go to $52.507 No, sir.","- you ' t you , you ?",13,8,0.1905,5
我在睡我的美容觉。 在哪？,"I'll let you have him in a little while, Ben.",i ' m my my my ?,14,7,0.1905,7
为什么不打呢？,"If we're going to fight, why don't we fight?",why why why why why ?,15,6,0.1905,9
当王妃在祈祷时 山中女孩去为她的伯沙撒而战,"While the Princess Beloved prays, the Mountain Girl goes to fight for her Belshazzar.",the <unk> the <unk> the <unk> of the <unk> of the <unk> of the <unk> .,16,16,0.1875,0
誰要是帶給我特洛涅的人頭 我就給他花不完的金子！,"Whoever brings me the head of Tronje, I shall fill his shield with gold!","- i ' m my my husband my husband , i ' m my wife !",16,16,0.1875,0
还有他放在前面的那只绵羊,Ilse. And the male sheep he put all the way in front.,""" he ' s the <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> .",14,18,0.1875,4
这时在詹金斯的家里， 进步人士在庆祝 他们成功地把这个 充满邪恶的世界纠正过来,While at the Jenkins home the Uplifters ــــــــــــــــ ــــــــــــــــ celebrate their success in righting the world that was all wrong.,the <unk> the <unk> <unk> the <unk> <unk> <unk> the <unk> <unk> <unk> the <unk> <unk> <unk> <unk> the <unk> <unk> <unk> <unk> .,19,24,0.186,5
大地啊，你已飲過齊格弗裏德的血,"You have drunk Siegfried's blood, O Earth!","you , , , , r diger , r diger .",11,11,0.1818,0
左肩上枪,"Left shoulder, arms!","the <unk> , the <unk> .",5,6,0.1818,1
好了 就这婆娘规矩多,Here we go again.,that ' s all right .,5,6,0.1818,1
国家属于我们,The land is ours.,""" , we we we .",5,6,0.1818,1
-小格洛丽亚·休斯? ——是的! - Little Gloria Hughes?,- Little Gloria Hughes?,"- the <unk> , <unk> .",5,6,0.1818,1
是他的兄弟,That was his brother.,he ' s the <unk> .,5,6,0.1818,1
我的臉被炸了.,Grenade in my face.,i ' ve been <unk> .,5,6,0.1818,1
岸上来的代表,A delegate from shore.,the <unk> <unk> the <unk> .,5,6,0.1818,1
真是好孩子,"Yes, you are.",that ' s a good .,5,6,0.1818,1
那么这是一起谋杀了?,Then it was murder?,what ' s this is ?,5,6,0.1818,1
I've got a suit... wait a minute now.,Wait a minute now.,i ' ' t get .,5,6,0.1818,1
"直到我的 眼泪将我内心所有的悲痛驱散 我才能够幸福""","""l can't help crying too.""",i ' my my my <unk> <unk> <unk> <unk> <unk> <unk> .,10,12,0.1818,2
妈妈和孩子的关系真的如此脆弱？,The bond between mother and child is so fragile?,the <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> ?,10,12,0.1818,2
一杯路易斯安那飲料酒.,A Louisiana Flip.,- i ' m <unk> <unk> .,4,7,0.1818,3
我沒說錯吧.,There you are.,i ' m going to . .,4,7,0.1818,3
"但是你却读出了那片陶器上的 ""安娜卡苏纳蒙""","But you read ""Anck-es-en-Amon"" on that piece of pottery.",but you ' re the <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> .,18,15,0.1818,3
鲁迪·瓦利。 鲁迪·瓦利。 It's Rudy valée.,It's Rudy Valée.,"<unk> , <unk> .",7,4,0.1818,3
I got a new dress. New hat too.,New hat too.,i ' ' t want to .,4,7,0.1818,3
在夜黑的时候走进了房里,And didn't you come into the house in the dark?,the <unk> the <unk> the <unk> the <unk> .,13,9,0.1818,4
第一个，球江已决定把她所有的财产给重子。,"First, Tamae has decided to give all her fortune to Shigeko.",""" , , , the <unk> <unk> <unk> .",13,9,0.1818,4
"""亲爱的爸爸妈妈 今天又是个可怕的星期天","""Dearest parents. Another horrible Sunday.",""" "" the <unk> of the <unk> of the <unk> of the <unk> .",8,14,0.1818,6
我在这里坐了半个小时看着你... ... 我还不知道你的眼睛是蓝色还是紫色。,I've been sitting here for a half-hour looking at you and I don't know yet whether your eyes are blue or violet.,i ' ' m going to <unk> . . . . . . . .,29,15,0.1818,14
他來了，對，是他,"Here he comes, yes it's he",he he ' s he he he he he he he he he he he he he he he he he he he he he he he he he he he he he he he .,9,36,0.1778,27
我不会抱怨，如果你 你能够一天有三次陪在我的身边,♪ I'd not complain if you were near me three times a day ♪,"i ' ' t t you , i ' m you you , i ' m you .",16,18,0.1765,2
第二個月要達到3000台,"In the second month, 3000... What is it?",the <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> .,13,10,0.1739,3
一个值得伯沙撒的父亲庆祝的日子,Belshazzar's father has a red letter day.,- a <unk> <unk> <unk> <unk> <unk> the <unk> of the <unk> .,10,13,0.1739,3
球江遗留在日本的孩子,The angel Tamae had left in Japan...,the <unk> the <unk> the <unk> the <unk> the <unk> the <unk> .,10,13,0.1739,3
如果你有一个甜美单纯的妻子,♪ If you had a sweet and pure wife ♪,you ' you you a <unk> of the <unk> of the <unk> .,10,13,0.1739,3
但你要为那种 女人自毁前程,But to risk one's entire future for that kind of woman?,you you ' re you to the <unk> .,14,9,0.1739,5
爱是最好的鼓励,Love's brave encouragement.,"- yes , the . .",6,6,0.1667,0
你有妻儿和工作,"wives, children, jobs.",you ' re a <unk> .,6,6,0.1667,0
"好吧，老灰姑娘是怎么想的？ Well, how does the old Cinderella Man feel about that?","Well, how does the old Cinderella Man feel about that?","well , , , , , , ' s all right .",12,12,0.1667,0
他的眼睛還睜著.,His eyes are still open.,he he ' s <unk> .,6,6,0.1667,0
侦探内田山野,Detective: San'nosuke Yamano,- ' s the <unk> .,6,6,0.1667,0
- 就跟他们？,- Past the graveyard.,- they they they they they ?,5,7,0.1667,2
别害怕,Do not be afraid.,don ' t t t you .,5,7,0.1667,2
如同最初,♪ As the day ♪,i ' ll be the <unk> .,5,7,0.1667,2
哪处都感觉不好,Conditions are bad everywhere.,- ' s not . . .,5,7,0.1667,2
李小萍的案子有进展吗?,Where are we on Xiaoping Li?,how is your hat ?,7,5,0.1667,2
- 是真的,-But it's true!,"- yes , yes .",7,5,0.1667,2
我们可以在最好的 酒店里住两人套间,♪ In the best hotel we could get a suite for two ♪,we ' ll be the <unk> <unk> <unk> the <unk> .,13,11,0.1667,2
这是我和女傧相,Myself and the bridesmaids.,this is my <unk> <unk> <unk> .,5,7,0.1667,2
自从我受伤之后，就没...,"Wasn't I wounded, fighting for the glory of Italy?",i ' m going to <unk> . . . . .,13,11,0.1667,2
我只喜欢跳舞,♪ I love dancing ♪,i ' m going to <unk> .,5,7,0.1667,2
但有时也会死很多人,sometimes we are.,but i ' ll be . . .,4,8,0.1667,4
我想他会为这奋斗 我可以感受到,No orange blossoms.,i ' ll tell him to me .,4,8,0.1667,4
你自便吧 那边还有很多,Go help yourself.,you ' re going to the <unk> .,4,8,0.1667,4
難道我們沒有各自的義務嗎?,Have we obligations?,i ' ' t want to to ?,4,8,0.1667,4
快把他送去医护所,All right.,he ' ll go to go to the .,3,9,0.1667,6
一切都是未知的,Nothing definite.,"- yes , that ' s the <unk> .",3,9,0.1667,6
然后短暂地回了一会儿家 又去了Adams Morgan的拉德福德银行,Returned home briefly before making a stop at the Radford Bank in Adams Morgan.,i ' ' ll be the <unk> <unk> .,15,9,0.1667,6
可以见到长长的河流,"""from which there is a divine view of the lake shimmering in moonlight.""",i ' ll be to the <unk> .,16,8,0.1667,8
我们会等待 玛丽娅 但我们等不久,"We will wait, Maria...! But not for much longer ― !",we ' ll be <unk> to us .,16,8,0.1667,8
我希望能你們能確保我跟我的部下離開這個大廳！,I demand safe conduct from this hall for myself and my men!,i ' ll tell you to my <unk> to my husband .,13,12,0.16,1
我在黑暗中盯着那扇门,Then I just have to stare at the door through the darkness.,i ' m <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> .,13,12,0.16,1
驻守恰塔奴加的南军奉令撤退,"The Southern army facing Chattanooga is ordered to retreat.""",the <unk> <unk> <unk> the <unk> <unk> <unk> <unk> <unk> the <unk> <unk> .,11,14,0.16,3
凯撒将会在你们的眼前，从僵尸复活！,"Cesare will awaken from his death-like trance. ""Step right in!""",""" ' s the <unk> of your <unk> .",16,9,0.16,7
如果可以的话 叫上面给你安排一个比较不危险的工作,"And if you could, get a job that's not quite so dangerous.",""" l , i ' ll be the <unk> of the <unk> of the <unk> of the <unk> of the <unk> .",16,22,0.1579,6
这东西不错，嘿，你告诉弗莱明我还想多要点,- Are you gonna see Lovo? - Yeah. Right away.,"it ' s not , , , i ' m not you .",13,13,0.1538,0
"带着最甜蜜的惊喜 j"" with the sweetest surprise j""",I With the sweetest surprise I,the <unk> <unk> the <unk> <unk> .,6,7,0.1538,1
有钱老婆的玉兰花。 A rich wife's magnolia.,A rich wife's magnolia.,the <unk> <unk> <unk> <unk> .,7,6,0.1538,1
What do you guys want? Get back to your desks.,Get back to your desks.,you ' ' t you you .,6,7,0.1538,1
谁想来讲这个故事？,Who will tell me his story?,that ' s this this ?,7,6,0.1538,1
只是要给弗兰克个惊喜而已,"Just a surprise, for Frank.",that ' s the <unk> .,7,6,0.1538,1
我是普萊辛格總經理.,This is General Director Preysing.,i ' m going to <unk> .,6,7,0.1538,1
隨時隨地都有音樂.,Music all the time.,- i ' m <unk> . . .,5,8,0.1538,3
祝你好运,"Goodbye, Padre. Goodbye, Frederico.",you ' re you .,8,5,0.1538,3
-您能闭嘴么,- Pipe down!,- you ' t you to the matter .,4,9,0.1538,5
竟然有人为我打架,Someone defending me?,but you ' t be me to me .,4,9,0.1538,5
敌军开始反攻了,Counter-attack.,i ' ' t go to the <unk> .,4,9,0.1538,5
你别进去,Not yet.,you don ' t you to go to you .,3,10,0.1538,7
谁是大都会中喂食机器的活生生的饲料,Who is the living fodder for the machines for Metropolis ― ? !,the <unk> the <unk> of the <unk> of the <unk> of the <unk> .,13,14,0.1481,1
现在他不得不离开,Not about her. - Now she's had to go away.,he ' ' t t t t he ' t t t .,14,13,0.1481,1
國王啊，請不要讓相愛的雙方相互殘殺！,"My lord, do not allow they who love one another to kill one another!",""" , , , , ' t t <unk> <unk> !",16,11,0.1481,5
